event_date,location,country,latitude,longitude,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,publication_date,event_year,total_occupants,fatality_rate,serious_injury_rate,destroyed,make_model
2021-07-08,"Orebro, OF",Sweden,,,Fatal,Destroyed,Airplane,De Havilland,DHC2,No,,,,9,0,0,0,,,2021,9,1.0,0.0,1,De Havilland_DHC2
2021-07-09,"Coffman Cove, AK",United States,056032N,1325050W,Non-Fatal,Substantial,Airplane,De Havilland,DHC-2-L-20,No,1,Reciprocating,Positioning,0,0,0,1,VMC,2021-12-17,2021,1,0.0,0.0,0,De Havilland_DHC-2-L-20
2021-07-10,"Wikieup, AZ",United States,344929N,1132329W,Fatal,Destroyed,Airplane,Beechcraft,C90,No,2,,Other,2,0,0,0,,2021-07-27,2021,2,1.0,0.0,1,Beechcraft_C90
2021-07-10,"Longmont, CO",United States,040102N,0105109W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,421C,No,2,,Personal,0,4,0,0,VMC,2021-07-19,2021,4,0.0,1.0,0,Cessna Aircraft Company_421C
2021-07-10,"Petaluma, CA",United States,381521N,0122365W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,172R,No,1,Reciprocating,Personal,0,0,0,4,VMC,2021-11-16,2021,4,0.0,0.0,0,Cessna Aircraft Company_172R
2021-07-10,"Chandler, AZ",United States,331555N,1114916W,Non-Fatal,Substantial,Airplane,Beechcraft,A36TC,No,1,,Personal,0,3,1,0,VMC,2021-09-30,2021,4,0.0,0.75,0,Beechcraft_A36TC
2021-07-11,"Newell, IA",United States,042384N,0945853W,Non-Fatal,Substantial,Airplane,Air Tractor: Air Tractor Inc,AT802,No,1,Turbo Prop,Aerial Application,0,0,0,1,VMC,2021-09-22,2021,1,0.0,0.0,0,Air Tractor: Air Tractor Inc_AT802
2021-07-11,"Elba, AL",United States,312436N,0086525W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,150F,No,1,,Instructional,0,0,0,2,VMC,2021-09-01,2021,2,0.0,0.0,0,Cessna Aircraft Company_150F
2021-07-11,"Eagle Butte, SD",United States,445923N,1011532W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,172F,No,1,,Personal,0,0,0,1,,2021-07-22,2021,1,0.0,0.0,0,Cessna Aircraft Company_172F
2021-07-11,"Rampart, AK",United States,652447N,0150224W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,170,No,,,Personal,0,0,0,1,,2021-08-02,2021,1,0.0,0.0,0,Cessna Aircraft Company_170
2021-07-11,"Yakutat, AK",United States,059734N,1383551W,Non-Fatal,Substantial,Airplane,Beechcraft,F35,No,1,,Personal,0,0,0,3,,,2021,3,0.0,0.0,0,Beechcraft_F35
2021-07-13,"Monterey, CA",United States,363431N,1214931W,Fatal,Destroyed,Airplane,Cessna Aircraft Company,421C,No,2,,Personal,2,0,0,0,IMC,2021-07-26,2021,2,1.0,0.0,1,Cessna Aircraft Company_421C
2021-07-13,"Carroll, IA",United States,042356N,0094522E,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-401,No,1,,Aerial Application,0,1,0,0,VMC,2021-07-28,2021,1,0.0,1.0,0,Air Tractor Inc_AT-401
2021-07-13,"Brooksville, FL",United States,028338N,0822223W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,A150K,No,1,,Personal,0,2,0,0,VMC,2021-08-05,2021,2,0.0,1.0,0,Cessna Aircraft Company_A150K
2021-07-14,"Muscatine, IA",United States,412936N,0091259W,Fatal,Destroyed,Airplane,Piper Aircraft,PA-28-180,No,1,,Personal,2,0,0,0,,2021-07-29,2021,2,1.0,0.0,1,Piper Aircraft_PA-28-180
2021-07-15,"Edcouch, TX",United States,261725N,0975658W,Non-Fatal,Substantial,Airplane,Air Tractor: Air Tractor Inc,AT502,No,1,,Aerial Application,0,0,0,1,,,2021,1,0.0,0.0,0,Air Tractor: Air Tractor Inc_AT502
2021-07-15,"Easton, MD",United States,384341N,0076747W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-23,No,2,,Instructional,0,0,0,2,VMC,2021-08-05,2021,2,0.0,0.0,0,Piper Aircraft_PA-23
2021-07-15,"Dinsmore, CA",United States,402931N,1233554W,Fatal,Destroyed,Airplane,Mooney,M20J,No,1,,Personal,4,0,0,0,VMC,2021-07-30,2021,4,1.0,0.0,1,Mooney_M20J
2021-07-15,"Rhinelander, WI",United States,453749N,0892814W,Non-Fatal,Substantial,Airplane,Aeronca,7AC,No,1,Reciprocating,Instructional,0,0,0,2,VMC,2021-09-20,2021,2,0.0,0.0,0,Aeronca_7AC
2021-07-16,"Angwin, CA",United States,383356N,1222550W,Fatal,Destroyed,Airplane,Beechcraft,V35,No,,,Personal,3,0,0,0,VMC,2021-07-27,2021,3,1.0,0.0,1,Beechcraft_V35
2021-07-16,"Refugio, TX",United States,281746N,0971935W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,P210,No,1,,Business,0,1,0,1,VMC,2021-09-29,2021,2,0.0,0.5,0,Cessna Aircraft Company_P210
2021-07-16,"Dublin, OF",Ireland,,,,Minor,Airplane,Boeing,787,No,2,,,0,0,0,0,,,2021,0,,,0,Boeing_787
2021-07-16,"Comstock, TX",United States,293826N,0101340W,Fatal,Destroyed,Airplane,Luscombe,8F,No,1,,Personal,1,0,0,0,VMC,2021-08-13,2021,1,1.0,0.0,1,Luscombe_8F
2021-07-16,"Skwentna, AK",United States,062261N,1512459W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-18-135,No,1,,Personal,0,0,0,2,,,2021,2,0.0,0.0,0,Piper Aircraft_PA-18-135
2021-07-16,"Skwentna, AK",United States,061558N,1505929W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,172,No,1,,Personal,0,1,0,1,VMC,2021-08-12,2021,2,0.0,0.5,0,Cessna Aircraft Company_172
2021-07-16,"Marcos Paz, OF",Argentina,344423S,0585410W,Fatal,Substantial,Airplane,Cessna Aircraft Company,150,No,,,,2,0,0,0,,,2021,2,1.0,0.0,0,Cessna Aircraft Company_150
2021-07-17,"Steinenbronn, Germany",Germany,,,Fatal,Destroyed,Airplane,Piper Aircraft,PA28,No,,,,4,0,0,0,,,2021,4,1.0,0.0,1,Piper Aircraft_PA28
2021-07-18,"Longmont, CO",United States,401014N,1051037W,Non-Fatal,Substantial,Airplane,Beechcraft,35-C33,No,1,,Personal,0,1,1,0,VMC,2021-07-23,2021,2,0.0,0.5,0,Beechcraft_35-C33
2021-07-18,"Frostproof, FL",United States,027450N,0813333W,Non-Fatal,Substantial,Airplane,Ercoupe,415-C,No,1,,Personal,0,3,0,0,VMC,,2021,3,0.0,1.0,0,Ercoupe_415-C
2021-07-18,"Durango, Mexico",Mexico,,,Fatal,Destroyed,Airplane,Beechcraft,C90,No,,,,1,0,1,0,,,2021,2,0.5,0.0,1,Beechcraft_C90
2021-07-18,"Cascade, ID",United States,442932N,0116053W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-20,No,1,,Personal,0,0,0,2,VMC,,2021,2,0.0,0.0,0,Piper Aircraft_PA-20
2021-07-18,"Gothard, Eswatini",Eswatini,,,Fatal,Destroyed,Airplane,Mooney,M20,No,,,,1,0,0,0,,,2021,1,1.0,0.0,1,Mooney_M20
